seed,ehull_difference_ev_atom,stable_difference,nus_difference
20000,-0.0260262303622269,0,0
20001,0.0687261116203866,-1,-1
20002,-0.1319959772340731,1,0
20003,0.0743790491992122,-1,-1
20004,0.00012742936637349933,0,0
20005,0.0169819630137535,0,-1
20006,-0.02982006330465739,0,0
20007,-0.05678809939091771,1,1
20008,0.059922861313673886,-1,-1
20009,-0.014908797999432004,0,1
20010,0.12282182930361431,-1,0
20011,-0.4294247807931466,1,0
20012,-0.0125042418713504,0,0
20013,-0.2293580678695477,1,0
20014,-0.007525467219654303,0,0
20015,0.06649834270536559,0,0
20016,-0.06621301379485091,0,1
20017,0.033311014885127305,0,0
20018,0.0313688189601766,0,0
20019,0.0172554397582996,0,0
20020,0.017994740824227584,0,0
20021,-0.0573861981930906,0,0
20022,0.047795483489355896,0,-1
20023,-4.655101362516234e-05,0,0
20024,-0.027996407758836397,1,0
20025,-0.017088116946389703,0,0
20026,0.1853987279325304,0,0
20027,-0.3467405767190952,1,1
20028,0.043058424624423,0,0
20029,0.3833522427920144,0,0
20030,-0.1684127527827411,1,1
20031,0.03217831445709329,0,1
20032,0.08115332385951751,0,0
20033,0.0,0,0
20034,0.011412048339842301,0,0
20035,0.025540531791464496,0,0
20036,-0.06549650054348,0,-1
20037,0.0040031721205498055,0,0
20038,-0.113966761352156,0,0
20039,0.0694332065857921,0,0
20040,-0.08772693569793599,1,0
20041,0.023713327854129496,0,-1
20042,0.03481280028607621,0,0
20043,-0.1577494824708498,0,0
20044,0.0207721452120309,0,-1
20045,0.0812543335425868,-1,-1
20046,0.1638788194649941,-1,-1
20047,0.052900235380784304,-1,0
20048,0.023484988540596705,-1,-1
20049,0.0217677881816858,0,0
20050,-0.04656625578213719,0,0
20051,-0.0417910093205638,1,1
20052,0.20294263642856158,0,0
20053,-0.0833718186311439,1,0
20054,-1.1271158854200825e-05,0,0
20055,-0.1547021943657327,1,0
20056,0.155411427752016,-1,0
20057,-0.043259588241578995,0,0
20058,-0.29225908513076426,1,0
20059,-0.0717116786534432,0,0
20060,0.15505315809552309,0,0
20061,0.31517114132150503,0,0
20062,-0.07180409284411299,1,0
